,Microbe_Treatment,Soil_Treatment,Inundated
1,None,Sand,No
2,None,Sand,No
3,None,Sand,No
4,None,Sand,No
5,None,Sand,No
6,None,Sand,No
7,None,Sand,No
8,None,Sand,No
9,None,Sand,No
10,None,Sand,No
11,None,Organic,No
12,None,Organic,No
13,None,Organic,No
14,None,Organic,No
15,None,Organic,No
16,None,Organic,No
17,None,Organic,No
18,None,Organic,No
19,None,Organic,No
20,None,Organic,No
21,None,Sand,Yes
22,None,Sand,Yes
23,None,Sand,Yes
24,None,Sand,Yes
25,None,Sand,Yes
26,None,Sand,Yes
27,None,Sand,Yes
28,None,Sand,Yes
29,None,Sand,Yes
30,None,Sand,Yes
31,None,Organic,Yes
32,None,Organic,Yes
33,None,Organic,Yes
34,None,Organic,Yes
35,None,Organic,Yes
36,None,Organic,Yes
37,None,Organic,Yes
38,None,Organic,Yes
39,None,Organic,Yes
40,None,Organic,Yes
41,SOB,Sand,No
42,SOB,Sand,No
43,SOB,Sand,No
44,SOB,Sand,No
45,SOB,Sand,No
46,SOB,Sand,No
47,SOB,Sand,No
48,SOB,Sand,No
49,SOB,Sand,No
50,SOB,Sand,No
51,SOB,Organic,No
52,SOB,Organic,No
53,SOB,Organic,No
54,SOB,Organic,No
55,SOB,Organic,No
56,SOB,Organic,No
57,SOB,Organic,No
58,SOB,Organic,No
59,SOB,Organic,No
60,SOB,Organic,No
61,SOB,Sand,Yes
62,SOB,Sand,Yes
63,SOB,Sand,Yes
64,SOB,Sand,Yes
65,SOB,Sand,Yes
66,SOB,Sand,Yes
67,SOB,Sand,Yes
68,SOB,Sand,Yes
69,SOB,Sand,Yes
70,SOB,Sand,Yes
71,SOB,Organic,Yes
72,SOB,Organic,Yes
73,SOB,Organic,Yes
74,SOB,Organic,Yes
75,SOB,Organic,Yes
76,SOB,Organic,Yes
77,SOB,Organic,Yes
78,SOB,Organic,Yes
79,SOB,Organic,Yes
80,SOB,Organic,Yes
81,Community,Sand,No
82,Community,Sand,No
83,Community,Sand,No
84,Community,Sand,No
85,Community,Sand,No
86,Community,Sand,No
87,Community,Sand,No
88,Community,Sand,No
89,Community,Sand,No
90,Community,Sand,No
91,Community,Organic,No
92,Community,Organic,No
93,Community,Organic,No
94,Community,Organic,No
95,Community,Organic,No
96,Community,Organic,No
97,Community,Organic,No
98,Community,Organic,No
99,Community,Organic,No
100,Community,Organic,No
101,Community,Sand,Yes
102,Community,Sand,Yes
103,Community,Sand,Yes
104,Community,Sand,Yes
105,Community,Sand,Yes
106,Community,Sand,Yes
107,Community,Sand,Yes
108,Community,Sand,Yes
109,Community,Sand,Yes
110,Community,Sand,Yes
111,Community,Organic,Yes
112,Community,Organic,Yes
113,Community,Organic,Yes
114,Community,Organic,Yes
115,Community,Organic,Yes
116,Community,Organic,Yes
117,Community,Organic,Yes
118,Community,Organic,Yes
119,Community,Organic,Yes
120,Community,Organic,Yes
